科修达有限公司,万科企业股份有限公司
浙江上风高科专风实业有限公司,盈峰环境科技集团股份有限公司
银泰资源股份有限公司,沈国军
浪潮软件集团有限公司,浪潮电子信息产业股份有限公司
浪潮软件集团有限公司,浪潮电子信息产业股份有限公司
九芝堂,李振国
宁德市国有资产投资经营有限公司,福建闽东电力股份有限公司
宁德市国有资产投资经营有限公司,福建闽东电力股份有限公司
中期集团有限公司,中国中期投资股份有限公司
福建新大陆电脑股份有限公司,林建
福建新大陆电脑股份有限公司,林建
袁隆平农业高科技股份有限公司,深圳隆平金谷种业有限公司
重庆宗申机车工业制造有限公司,重庆宗申动力机械股份有限公司
鸿达兴业,周奕丰
鸿达兴业股份有限公司,周奕丰
广东德豪润达照明系统工程有限公司,广东德豪润达电气股份有限公司
惠州德豪消防照明标识有限公司,广东德豪润达电气股份有限公司
广东德豪润达电气股份有限公司,大连德润达实业有限公司
京新控股集团有限公司,浙江京新药业股份有限公司
吕钢,浙江京新药业股份有限公司
上海科华生物工程股份有限公司,BIOMERIEUX HK INVESTMENT LIMITED
苏宁云商集团股份有限公司,苏宁消费金融有限公司
安信-苏宁众承2号定向资产管理计划,苏宁云商集团股份有限公司
贵州航天电器股份有限公司,遵义朝晖航天电器有限责任公司
贵州航天电器股份有限公司,贵州航天工业有限责任公司
贵州航天电器股份有限公司,贵州航天工业有限责任公司
贵州航天电器股份有限公司,贵州航天工业有限责任公司
贵州航天电器股份有限公司,贵州航天工业有限责任公司
招证资管-<e2>达安基因</e2>员工持股计划定向资产管理计划,达安基因
浙江苏泊尔股份有限公司,Grain Harvest Development Limited
浙江苏泊尔股份有限公司,Grain Harvest Development Limited
浙江苏泊尔股份有限公司,苏泊尔集团有限公司
鲍凤娇,美欣达
湖州<e2>美欣达</e2>丝绸印染有限公司,美欣达
宁波霞日宜科纺织品商贸有限公司,联创电子科技股份有限公司
江西鑫盛投资有限公司,联创电子
山东登海种业股份有限公司,王元仲
山东登海种业股份有限公司,王元仲
山东登海种业股份有限公司,吴树科
山东登海种业股份有限公司,李小霞
兔宝宝,德清德航游艇制造有限公司
美年大健康产业控股股份有限公司,上海天亿资产管理有限公司
美年大健康产业控股股份有限公司,上海天亿资产管理有限公司
南通新城集团永兴汽车销售服务有限公司,美年大健康产业控股股份有限公司
深圳市宝矽投资有限公司,深圳市宝鹰建设控股集团股份有限公司
宁波峰梅实业有限公司,宁波华翔电子股份有限公司
北京亚仕同方科技有限公司,紫光国芯股份有限公司
北京亚仕同方科技有限公司,紫光国芯股份有限公司
北京亚仕同方科技有限公司,紫光国芯股份有限公司
西藏<e2>紫光国芯</e2>投资有限公司,紫光国芯
浙江三花智能控制股份有限公司,杭州三花研究院有限公司
浙江三花智能控制股份有限公司,浙江三花钱江汽车部件集团有限公司
